id;module_code;module_name;description;parent_id;module_level;page_url;icon;form_name;display_order;role_id;is_deleted;created_at;created_by;updated_at;updated_by;legacy_id
133;dashboard_1;DASHBOARD;DASHBOARD;;0;/apps/dashboard;<Icon.Home />;;;;false;2026-01-29 13:31:27.510235+00;;2026-01-29 13:31:27.510235+00;;1
134;employer_details_2;EMPLOYER DETAILS;EMPLOYER DETAILS;;1;/apps/employerdetails;<Icon.User />;;;;false;2026-01-29 13:31:27.510235+00;;2026-01-29 13:31:27.510235+00;;2
135;c3_3;C3;C3;;2;/C3;<Icon.DollarSign />;;;;false;2026-01-29 13:31:27.510235+00;;2026-01-29 13:31:27.510235+00;;3
136;non_working_director_9;NON WORKING DIRECTOR;NON WORKING DIRECTOR;;8;/director;<Icon.User />;;;;false;2026-01-29 13:31:27.510235+00;;2026-01-29 13:31:27.510235+00;;9
137;settings_13;SETTINGS;SETTINGS;;12;;;;;;true;2026-01-29 13:31:27.510235+00;;2026-01-29 13:31:27.510235+00;;13
138;administration_16;ADMINISTRATION;ADMINISTRATION;;15;/administration;<Icon.Users/>;;;;false;2026-01-29 13:31:27.510235+00;;2026-01-29 13:31:27.510235+00;;16
139;payments_details_20;PAYMENTS DETAILS;PAYMENTS DETAILS;;9;/apps/paymentdetails;<Icon.CreditCard />;;;;false;2026-01-29 13:31:27.510235+00;;2026-01-29 13:31:27.510235+00;;20
140;about_us_21;ABOUT US;ABOUT US;;20;/apps/aboutus;<Icon.Info />;;;;false;2026-01-29 13:31:27.510235+00;;2026-01-29 13:31:27.510235+00;;21
141;contact_us_22;CONTACT US;CONTACT US;;21;/apps/contacts;<Icon.Headphones />;;;;false;2026-01-29 13:31:27.510235+00;;2026-01-29 13:31:27.510235+00;;22
142;dashboard_23;DASHBOARD;DASHBOARD;;0;/apps/dashboards;<Icon.Home />;;;;false;2026-01-29 13:31:27.510235+00;;2026-01-29 13:31:27.510235+00;;23
143;personal_details_24;PERSONAL DETAILS;PERSONAL DETAILS;;1;/apps/personalDetails;<Icon.Users />;;;;false;2026-01-29 13:31:27.510235+00;;2026-01-29 13:31:27.510235+00;;24
