id;legacy_id;user_id;module_id;permission_type;is_granted;created_at;created_by;updated_at;updated_by
1;1;409;;DASHBOARD;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
2;2;409;;EMPLOYER DETAILS;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
3;3;409;;EMPLOYEE;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
4;4;409;;USER MANAGEMENT;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
5;5;409;;PAYROLL PROCESS;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
6;6;409;;WAGES / CONTRIBUTION;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
7;7;409;;BACKUP/RESTORE DATABASE;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
8;8;409;;REPORTS;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
9;9;409;;SETTINGS;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
10;10;49;;DASHBOARD;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
11;11;49;;EMPLOYER DETAILS;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
12;12;49;;EMPLOYEE;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
13;13;49;;USER MANAGEMENT;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
14;14;49;;PAYROLL PROCESS;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
15;15;49;;WAGES / CONTRIBUTION;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
16;16;49;;BACKUP/RESTORE DATABASE;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
17;17;49;;REPORTS;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
18;18;49;;SETTINGS;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
19;19;74;;DASHBOARD;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
20;20;74;;EMPLOYER DETAILS;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
21;21;74;;EMPLOYEE;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
22;22;74;;USER MANAGEMENT;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
23;23;74;;PAYROLL PROCESS;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
24;24;74;;WAGES / CONTRIBUTION;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
25;25;74;;BACKUP/RESTORE DATABASE;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
26;26;74;;REPORTS;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
27;27;74;;SETTINGS;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
28;28;480;;DASHBOARD;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
29;29;480;;EMPLOYER DETAILS;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
30;30;480;;EMPLOYEE;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
31;31;480;;USER MANAGEMENT;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
32;32;480;;PAYROLL PROCESS;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
33;33;480;;WAGES / CONTRIBUTION;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
34;34;480;;BACKUP/RESTORE DATABASE;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
35;35;480;;REPORTS;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
36;36;480;;SETTINGS;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
37;37;528;;DASHBOARD;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
38;38;528;;EMPLOYER DETAILS;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
39;39;528;;EMPLOYEE;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
40;40;528;;USER MANAGEMENT;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
41;41;528;;PAYROLL PROCESS;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
42;42;528;;WAGES / CONTRIBUTION;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
43;43;528;;BACKUP/RESTORE DATABASE;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
44;44;528;;REPORTS;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
45;45;528;;SETTINGS;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
46;46;552;;DASHBOARD;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
47;47;552;;EMPLOYER DETAILS;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
48;48;552;;EMPLOYEE;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
49;49;552;;USER MANAGEMENT;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
50;50;552;;PAYROLL PROCESS;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
51;51;552;;WAGES / CONTRIBUTION;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
52;52;552;;BACKUP/RESTORE DATABASE;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
53;53;552;;REPORTS;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
54;54;552;;SETTINGS;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
55;55;98;;DASHBOARD;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
56;56;98;;EMPLOYER DETAILS;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
57;57;98;;EMPLOYEE;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
58;58;98;;USER MANAGEMENT;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
59;59;98;;PAYROLL PROCESS;true;2026-01-30 07:04:11.847617+00;;2026-01-30 07:04:11.847617+00;
